date,lgd_district_name,lgd_state_name,npi_border,npi_curfew,npi_industry,npi_lockdown,npi_mask,npi_retail,npi_school,npi_surveillance,npi_temple,npi_transport,npi_cu,district,av_npi_cu,npi_cu_scale,av_npi_cu_scale,sdgroup,state
05jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,944,andhra pradesh
06jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,950,andhra pradesh
07jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,956,andhra pradesh
08jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,962,andhra pradesh
09jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,968,andhra pradesh
10jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,974,andhra pradesh
11jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,980,andhra pradesh
12jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,986,andhra pradesh
13jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,992,andhra pradesh
14jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,998,andhra pradesh
15jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1004,andhra pradesh
16jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1010,andhra pradesh
17jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1016,andhra pradesh
18jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1022,andhra pradesh
19jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1028,andhra pradesh
20jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1034,andhra pradesh
21jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1040,andhra pradesh
22jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1046,andhra pradesh
23jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1052,andhra pradesh
24jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1058,andhra pradesh
25jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1064,andhra pradesh
26jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1070,andhra pradesh
27jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1076,andhra pradesh
28jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.8690475,.23958333,.23363094,1082,andhra pradesh
29jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.8214285,.23958333,.22767857,1088,andhra pradesh
30jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,1.9166666,.23958333,.23958333,1094,andhra pradesh
